team_id,year,team,region,seed,finish,weekend,her_hoops_raw,her_hoops_id
2022 Missouri St.,2022,Missouri St.,West,11,First Round,1,Missouri St.,2022 Missouri St.
2022 Florida St.,2022,Florida St.,West,11,First Round,1,Florida St.,2022 Florida St.
2022 Florida Gulf Coast,2022,Florida Gulf Coast,West,12,Second Round,1,FGCU,2022 FGCU
2022 Delaware,2022,Delaware,West,13,First Round,1,Delaware,2022 Delaware
2022 Jackson St.,2022,Jackson St.,West,14,First Round,1,Jackson St.,2022 Jackson St.
2022 Fairfield,2022,Fairfield,West,15,First Round,1,Fairfield,2022 Fairfield
2022 Montana St.,2022,Montana St.,West,16,First Round,1,Montana St.,2022 Montana St.
2023 South Carolina,2023,South Carolina,East,1,Final Four,3,South Carolina,2023 South Carolina
2023 Maryland,2023,Maryland,East,2,Elite Eight,2,Maryland,2023 Maryland
2023 Notre Dame,2023,Notre Dame,East,3,Sweet 16,2,Notre Dame,2023 Notre Dame
2023 UCLA,2023,UCLA,East,4,Sweet 16,2,UCLA,2023 UCLA
2023 Oklahoma,2023,Oklahoma,East,5,Second Round,1,Oklahoma,2023 Oklahoma
2023 Creighton,2023,Creighton,East,6,First Round,1,Creighton,2023 Creighton
2023 Arizona,2023,Arizona,East,7,Second Round,1,Arizona,2023 Arizona
2023 South Florida,2023,South Florida,East,8,Second Round,1,South Fla.,2023 South Fla.
2023 Marquette,2023,Marquette,East,9,First Round,1,Marquette,2023 Marquette
2023 West Virginia,2023,West Virginia,East,10,First Round,1,West Virginia,2023 West Virginia
2023 Illinois,2023,Illinois,East,11,Second Round,1,Illinois,2023 Illinois
2023 Mississippi St.,2023,Mississippi St.,East,11,First Round,1,Mississippi St.,2023 Mississippi St.
2023 Portland,2023,Portland,East,12,First Round,1,Portland,2023 Portland
2023 Sacramento St.,2023,Sacramento St.,East,13,First Round,1,Sacramento St.,2023 Sacramento St.
2023 Southern Utah,2023,Southern Utah,East,14,First Round,1,Southern Utah,2023 Southern Utah
2023 Holy Cross,2023,Holy Cross,East,15,First Round,1,Holy Cross,2023 Holy Cross
2023 Norfolk St.,2023,Norfolk St.,East,16,First Round,1,Norfolk St.,2023 Norfolk St.
2023 Virginia Tech,2023,Virginia Tech,South,1,Final Four,3,Virginia Tech,2023 Virginia Tech
2023 Connecticut,2023,Connecticut,South,2,Sweet 16,2,UConn,2023 UConn
2023 Ohio St.,2023,Ohio St.,South,3,Elite Eight,2,Ohio St.,2023 Ohio St.
2023 Tennessee,2023,Tennessee,South,4,Sweet 16,2,Tennessee,2023 Tennessee
2023 Iowa St.,2023,Iowa St.,South,5,First Round,1,Iowa St.,2023 Iowa St.
2023 North Carolina,2023,North Carolina,South,6,Second Round,1,North Carolina,2023 North Carolina
2023 Baylor,2023,Baylor,South,7,Second Round,1,Baylor,2023 Baylor
2023 USC,2023,USC,South,8,First Round,1,Southern California,2023 Southern California
2023 South Dakota St.,2023,South Dakota St.,South,9,Second Round,1,South Dakota St.,2023 South Dakota St.
2023 Alabama,2023,Alabama,South,10,First Round,1,Alabama,2023 Alabama
2023 Purdue,2023,Purdue,South,11,First Round,1,Purdue,2023 Purdue
2023 St. John's,2023,St. John's,South,11,First Round,1,St. John's (NY),2023 St. John's (NY)
2023 Toledo,2023,Toledo,South,12,Second Round,1,Toledo,2023 Toledo
2023 Saint Louis,2023,Saint Louis,South,13,First Round,1,Saint Louis,2023 Saint Louis
2023 James Madison,2023,James Madison,South,14,First Round,1,James Madison,2023 James Madison
2023 Vermont,2023,Vermont,South,15,First Round,1,Vermont,2023 Vermont
2023 Chattanooga,2023,Chattanooga,South,16,First Round,1,Chattanooga,2023 Chattanooga
2023 Indiana,2023,Indiana,Midwest,1,Second Round,1,Indiana,2023 Indiana
2023 Utah,2023,Utah,Midwest,2,Sweet 16,2,Utah,2023 Utah
2023 LSU,2023,LSU,Midwest,3,Champion,3,LSU,2023 LSU
2023 Villanova,2023,Villanova,Midwest,4,Sweet 16,2,Villanova,2023 Villanova
2023 Washington St.,2023,Washington St.,Midwest,5,First Round,1,Washington St.,2023 Washington St.
2023 Michigan,2023,Michigan,Midwest,6,Second Round,1,Michigan,2023 Michigan
2023 North Carolina St.,2023,North Carolina St.,Midwest,7,First Round,1,NC State,2023 NC State
2023 Oklahoma St.,2023,Oklahoma St.,Midwest,8,First Round,1,Oklahoma St.,2023 Oklahoma St.
2023 Miami FL,2023,Miami FL,Midwest,9,Elite Eight,2,Miami (FL),2023 Miami (FL)
2023 Princeton,2023,Princeton,Midwest,10,Second Round,1,Princeton,2023 Princeton
2023 UNLV,2023,UNLV,Midwest,11,First Round,1,UNLV,2023 UNLV
2023 Florida Gulf Coast,2023,Florida Gulf Coast,Midwest,12,Second Round,1,FGCU,2023 FGCU
2023 Cleveland St.,2023,Cleveland St.,Midwest,13,First Round,1,Cleveland St.,2023 Cleveland St.
2023 Hawaii,2023,Hawaii,Midwest,14,First Round,1,Hawaii,2023 Hawaii
2023 Gardner Webb,2023,Gardner Webb,Midwest,15,First Round,1,Gardner-Webb,2023 Gardner-Webb
2023 Tennessee Tech,2023,Tennessee Tech,Midwest,16,First Round,1,Tennessee Tech,2023 Tennessee Tech
2023 Monmouth,2023,Monmouth,Midwest,16,First Round,1,Monmouth,2023 Monmouth
2023 Stanford,2023,Stanford,West,1,Second Round,1,Stanford,2023 Stanford
2023 Iowa,2023,Iowa,West,2,Runner Up,3,Iowa,2023 Iowa
2023 Duke,2023,Duke,West,3,Second Round,1,Duke,2023 Duke
2023 Texas,2023,Texas,West,4,Second Round,1,Texas,2023 Texas
2023 Louisville,2023,Louisville,West,5,Elite Eight,2,Louisville,2023 Louisville
2023 Colorado,2023,Colorado,West,6,Sweet 16,2,Colorado,2023 Colorado
2023 Florida St.,2023,Florida St.,West,7,First Round,1,Florida St.,2023 Florida St.
2023 Mississippi,2023,Mississippi,West,8,Sweet 16,2,Ole Miss,2023 Ole Miss
2023 Gonzaga,2023,Gonzaga,West,9,First Round,1,Gonzaga,2023 Gonzaga
2023 Georgia,2023,Georgia,West,10,Second Round,1,Georgia,2023 Georgia
2023 Middle Tennessee,2023,Middle Tennessee,West,11,First Round,1,Middle Tenn.,2023 Middle Tenn.
2023 Drake,2023,Drake,West,12,First Round,1,Drake,2023 Drake
2023 East Carolina,2023,East Carolina,West,13,First Round,1,East Carolina,2023 East Carolina
2023 Iona,2023,Iona,West,14,First Round,1,Iona,2023 Iona
2023 Southeastern Louisiana,2023,Southeastern Louisiana,West,15,First Round,1,Southeastern La.,2023 Southeastern La.
2023 Southern,2023,Southern,West,16,First Round,1,Southern U.,2023 Southern U.
2023 Sacred Heart,2023,Sacred Heart,West,16,First Round,1,Sacred Heart,2023 Sacred Heart
2024 South Carolina,2024,South Carolina,East,1,Champion,3,South Carolina,2024 South Carolina
2024 Notre Dame,2024,Notre Dame,East,2,Sweet 16,2,Notre Dame,2024 Notre Dame
2024 Oregon St.,2024,Oregon St.,East,3,Elite Eight,2,Oregon St.,2024 Oregon St.
2024 Indiana,2024,Indiana,East,4,Sweet 16,2,Indiana,2024 Indiana
2024 Oklahoma,2024,Oklahoma,East,5,Second Round,1,Oklahoma,2024 Oklahoma
2024 Nebraska,2024,Nebraska,East,6,Second Round,1,Nebraska,2024 Nebraska
2024 Mississippi,2024,Mississippi,East,7,Second Round,1,Ole Miss,2024 Ole Miss
2024 North Carolina,2024,North Carolina,East,8,Second Round,1,North Carolina,2024 North Carolina
2024 Michigan St.,2024,Michigan St.,East,9,First Round,1,Michigan St.,2024 Michigan St.
2024 Marquette,2024,Marquette,East,10,First Round,1,Marquette,2024 Marquette
2024 Texas A&M,2024,Texas A&M,East,11,First Round,1,Texas A&M,2024 Texas A&M
2024 Florida Gulf Coast,2024,Florida Gulf Coast,East,12,First Round,1,FGCU,2024 FGCU
2024 Fairfield,2024,Fairfield,East,13,First Round,1,Fairfield,2024 Fairfield
2024 Eastern Washington,2024,Eastern Washington,East,14,First Round,1,Eastern Wash.,2024 Eastern Wash.
2024 Kent St.,2024,Kent St.,East,15,First Round,1,Kent St.,2024 Kent St.
2024 Sacred Heart,2024,Sacred Heart,East,16,First Round,1,Sacred Heart,2024 Sacred Heart
2024 Presbyterian,2024,Presbyterian,East,16,First Round,1,Presbyterian,2024 Presbyterian
2024 Texas,2024,Texas,South,1,Elite Eight,2,Texas,2024 Texas
2024 Stanford,2024,Stanford,South,2,Sweet 16,2,Stanford,2024 Stanford
2024 North Carolina St.,2024,North Carolina St.,South,3,Final Four,3,NC State,2024 NC State
2024 Gonzaga,2024,Gonzaga,South,4,Sweet 16,2,Gonzaga,2024 Gonzaga
2024 Utah,2024,Utah,South,5,Second Round,1,Utah,2024 Utah
2024 Tennessee,2024,Tennessee,South,6,Second Round,1,Tennessee,2024 Tennessee
2024 Iowa St.,2024,Iowa St.,South,7,Second Round,1,Iowa St.,2024 Iowa St.
2024 Alabama,2024,Alabama,South,8,Second Round,1,Alabama,2024 Alabama
2024 Florida St.,2024,Florida St.,South,9,First Round,1,Florida St.,2024 Florida St.
2024 Maryland,2024,Maryland,South,10,First Round,1,Maryland,2024 Maryland
2024 Green Bay,2024,Green Bay,South,11,First Round,1,Green Bay,2024 Green Bay
2024 South Dakota St.,2024,South Dakota St.,South,12,First Round,1,South Dakota St.,2024 South Dakota St.
2024 UC Irvine,2024,UC Irvine,South,13,First Round,1,UC Irvine,2024 UC Irvine
2024 Chattanooga,2024,Chattanooga,South,14,First Round,1,Chattanooga,2024 Chattanooga
2024 Norfolk St.,2024,Norfolk St.,South,15,First Round,1,Norfolk St.,2024 Norfolk St.
2024 Drexel,2024,Drexel,South,16,First Round,1,Drexel,2024 Drexel
2024 Iowa,2024,Iowa,Midwest,1,Runner Up,3,Iowa,2024 Iowa
2024 UCLA,2024,UCLA,Midwest,2,Sweet 16,2,UCLA,2024 UCLA
2024 LSU,2024,LSU,Midwest,3,Elite Eight,2,LSU,2024 LSU
2024 Kansas St.,2024,Kansas St.,Midwest,4,Second Round,1,Kansas St.,2024 Kansas St.
2024 Colorado,2024,Colorado,Midwest,5,Sweet 16,2,Colorado,2024 Colorado
2024 Louisville,2024,Louisville,Midwest,6,First Round,1,Louisville,2024 Louisville
2024 Creighton,2024,Creighton,Midwest,7,Second Round,1,Creighton,2024 Creighton
2024 West Virginia,2024,West Virginia,Midwest,8,Second Round,1,West Virginia,2024 West Virginia
2024 Princeton,2024,Princeton,Midwest,9,First Round,1,Princeton,2024 Princeton
2024 UNLV,2024,UNLV,Midwest,10,First Round,1,UNLV,2024 UNLV
2024 Middle Tennessee,2024,Middle Tennessee,Midwest,11,Second Round,1,Middle Tenn.,2024 Middle Tenn.
2024 Drake,2024,Drake,Midwest,12,First Round,1,Drake,2024 Drake
2024 Portland,2024,Portland,Midwest,13,First Round,1,Portland,2024 Portland
2024 Rice,2024,Rice,Midwest,14,First Round,1,Rice,2024 Rice
2024 California Baptist,2024,California Baptist,Midwest,15,First Round,1,California Baptist,2024 California Baptist
2024 Holy Cross,2024,Holy Cross,Midwest,16,First Round,1,Holy Cross,2024 Holy Cross
2024 UT Martin,2024,UT Martin,Midwest,16,First Round,1,UT Martin,2024 UT Martin
2024 USC,2024,USC,West,1,Elite Eight,2,Southern California,2024 Southern California
2024 Ohio St.,2024,Ohio St.,West,2,Second Round,1,Ohio St.,2024 Ohio St.
2024 Connecticut,2024,Connecticut,West,3,Final Four,3,UConn,2024 UConn
2024 Virginia Tech,2024,Virginia Tech,West,4,Second Round,1,Virginia Tech,2024 Virginia Tech
2024 Baylor,2024,Baylor,West,5,Sweet 16,2,Baylor,2024 Baylor
2024 Syracuse,2024,Syracuse,West,6,Second Round,1,Syracuse,2024 Syracuse
2024 Duke,2024,Duke,West,7,Sweet 16,2,Duke,2024 Duke
2024 Kansas,2024,Kansas,West,8,Second Round,1,Kansas,2024 Kansas
2024 Michigan,2024,Michigan,West,9,First Round,1,Michigan,2024 Michigan
2024 Richmond,2024,Richmond,West,10,First Round,1,Richmond,2024 Richmond
2024 Auburn,2024,Auburn,West,11,First Round,1,Auburn,2024 Auburn
2024 Arizona,2024,Arizona,West,11,First Round,1,Arizona,2024 Arizona
2024 Vanderbilt,2024,Vanderbilt,West,12,First Round,1,Vanderbilt,2024 Vanderbilt
2024 Columbia,2024,Columbia,West,12,First Round,1,Columbia,2024 Columbia
2024 Marshall,2024,Marshall,West,13,First Round,1,Marshall,2024 Marshall
2024 Jackson St.,2024,Jackson St.,West,14,First Round,1,Jackson St.,2024 Jackson St.
2024 Maine,2024,Maine,West,15,First Round,1,Maine,2024 Maine
2024 Texas A&M Corpus Chris,2024,Texas A&M Corpus Chris,West,16,First Round,1,A&M-Corpus Christi,2024 A&M-Corpus Christi
